id,label,pageranks,twitter_score,audience_sw_apr_june24,Hard News,topic_niv1,clusters_legend,date_fusion,SPEL,CPPAP,ORG,PROPR,media_category,lrecon_23_mean,antielite_salience_23_mean,eu_position_23_mean,refugees_23_mean,galtan_23_mean
350,Contretemps.eu,0.000693,"0,154928386",258000,TRUE,Actu,Gauche - Extrême Gauche,2001,FALSE,FALSE,|||,||||,NaN,3.206,7.192,4.039,7.301,3.464
351,En-Attendant-Nadeau.fr,0.000518,"0,154822144",238573,FALSE,Culture,Gauche - Extrême Gauche,,TRUE,TRUE,|||,||||,NaN,4.093,6.366,4.771,7.202,4.082
352,Brunobertez.com,0.000342,"0,153575083",117268,TRUE,Actu,Extrême Droite - Réinformation,2015,FALSE,FALSE,|||,||||,NaN,5.826,8.14,1.965,4.413,7.62
353,Melty.fr,0.000446,"0,153098467",7327000,FALSE,Lifestyle,Lifestyle – Santé – TV,2008,FALSE,FALSE,|||,||||,,,,,,
354,Tradingsat.com,0.000656,"0,152141592",3053000,TRUE,Economie,Economique - Tech - Gaming,2005,TRUE,FALSE,|||,||||,NaN,5.459,6.503,4.202,6.204,5.913
355,Zinfos974.com,0.000457,"0,151675734",3330000,TRUE,Actu,Extrême Droite - Réinformation,2008,TRUE,TRUE,|||,||||,Right Wing,4.952,6.367,4.556,6.739,5.175
356,Booska-P.com,0.00057,"0,151336628",1431000,FALSE,Lifestyle,PQR - Sport - Météo,,TRUE,FALSE,|||,||||,,,,,,
357,Rapportsdeforce.fr,0.000416,"0,151119672",129475,TRUE,Actu,Gauche - Extrême Gauche,2017,TRUE,TRUE,|||,||||,NaN,3.166,7.094,4.144,7.396,3.371
358,Brut.media,0.001216,"0,176879637",498101,TRUE,Actu,Lifestyle – Santé – TV,2016,FALSE,FALSE,|||,||||,NaN,4.804,5.537,5.628,7.428,4.394
359,Strategies.fr,0.001549,"0,150587717",354580,TRUE,Marketing,Economique - Tech - Gaming,1971,TRUE,FALSE,|||,||||,NaN,5.538,4.615,6.573,7.67,4.676
360,Disneyphile.fr,0.000304,"0,150330693",253819,FALSE,BD,Lifestyle – Santé – TV,,FALSE,FALSE,|||,||||,,,,,,
